Block_Maze_1(31, 167, 1)

dsnclass.Text("Block Maze 1", (500, 472), 60, "impact", GREY, None)

self.platforms =  [
        pygame.draw.rect(screen, BLACK, [0, 553, 1080, 23]),
        pygame.draw.rect(screen, BLACK, [0, 0, 1080, 23]),
        pygame.draw.rect(screen, BLACK, [0, 0, 18, 576]),
        pygame.draw.rect(screen, BLACK, [1062, 0, 18, 576]),
        pygame.draw.rect(screen, BLACK, [98, 161, 161, 11]),
        pygame.draw.rect(screen, BLACK, [0, 125, 161, 11]),
        pygame.draw.rect(screen, BLACK, [61, 47, 203, 11]),
        pygame.draw.rect(screen, BLACK, [66, 90, 174, 11]),
        pygame.draw.rect(screen, BLACK, [252, 201, 12, 155]),
        pygame.draw.rect(screen, BLACK, [11, 193, 252, 11]),
        pygame.draw.rect(screen, BLACK, [503, 346, 252, 11]),
        pygame.draw.rect(screen, BLACK, [252, 346, 252, 11]),
        pygame.draw.rect(screen, BLACK, [252, 48, 12, 155]),
        pygame.draw.rect(screen, BLACK, [324, 17, 12, 82]),
        pygame.draw.rect(screen, BLACK, [515, 17, 12, 82]),
        pygame.draw.rect(screen, BLACK, [252, 269, 252, 11]),
        pygame.draw.rect(screen, BLACK, [672, 215, 121, 11]),
        pygame.draw.rect(screen, BLACK, [757, 245, 121, 11]),
        pygame.draw.rect(screen, BLACK, [757, 316, 121, 11]),
        pygame.draw.rect(screen, BLACK, [755, 346, 121, 11]),
        pygame.draw.rect(screen, BLACK, [757, 184, 121, 11]),
        pygame.draw.rect(screen, BLACK, [757, 120, 121, 11]),
        pygame.draw.rect(screen, BLACK, [755, 316, 12, 37]),
        pygame.draw.rect(screen, BLACK, [669, 153, 121, 11]),
        pygame.draw.rect(screen, BLACK, [669, 88, 121, 11]),
        pygame.draw.rect(screen, BLACK, [673, 278, 121, 11]),
        pygame.draw.rect(screen, BLACK, [978, 90, 12, 267]),
        pygame.draw.rect(screen, BLACK, [324, 89, 203, 11]),
        pygame.draw.rect(screen, BLACK, [978, 89, 100, 11]),
        pygame.draw.rect(screen, BLACK, [978, 346, 100, 11]),
        pygame.draw.rect(screen, BLACK, [430, 195, 171, 11]),
        pygame.draw.rect(screen, BLACK, [492, 270, 12, 82]),
        pygame.draw.rect(screen, BLACK, [429, 164, 12, 42]),
        pygame.draw.rect(screen, BLACK, [866, 90, 12, 267]),
        pygame.draw.rect(screen, BLACK, [978, 37, 100, 11]),
        pygame.draw.rect(screen, BLACK, [901, 90, 12, 301]),
        pygame.draw.rect(screen, BLACK, [219, 229, 12, 162]),
        pygame.draw.rect(screen, BLACK, [867, 90, 44, 11]),
        pygame.draw.rect(screen, BLACK, [13, 226, 218, 11]),
        pygame.draw.rect(screen, BLACK, [589, 164, 12, 42]),
        pygame.draw.rect(screen, BLACK, [667, 88, 12, 201]),
        pygame.draw.rect(screen, BLACK, [667, 55, 58, 8]),
        pygame.draw.rect(screen, BLACK, [978, 21, 12, 22]),
        pygame.draw.rect(screen, BLACK, [666, 21, 12, 42]),
        pygame.draw.rect(screen, BLACK, [713, 21, 12, 42]),
        pygame.draw.rect(screen, BLACK, [229, 380, 681, 11]),
        pygame.draw.rect(screen, BLACK, [865, 442, 213, 11]),
        pygame.draw.rect(screen, BLACK, [409, 160, 210, 11]),
        pygame.draw.rect(screen, BLACK, [256, 527, 12, 49]),
        pygame.draw.rect(screen, BLACK, [797, 527, 12, 49]),
        pygame.draw.rect(screen, BLACK, [256, 497, 553, 11]),
        pygame.draw.rect(screen, BLACK, [256, 426, 553, 11]),
        pygame.draw.rect(screen, BLACK, [865, 451, 12, 121]),
        pygame.draw.rect(screen, BLACK, [798, 426, 12, 82]),
        pygame.draw.rect(screen, BLACK, [169, 525, 12, 51]),
        pygame.draw.rect(screen, BLACK, [256, 527, 553, 11]),
        pygame.draw.rect(screen, BLACK, [255, 426, 12, 82]),
        pygame.draw.rect(screen, BLACK, [0, 524, 181, 11]),
        pygame.draw.rect(screen, BLACK, [60, 487, 120, 9]),
        pygame.draw.rect(screen, BLACK, [0, 454, 120, 9]),
        pygame.draw.rect(screen, BLACK, [70, 418, 110, 9]),
        pygame.draw.rect(screen, BLACK, [0, 386, 117, 9]),
        pygame.draw.rect(screen, BLACK, [63, 352, 117, 9]),
        pygame.draw.rect(screen, BLACK, [0, 319, 117, 9]),
        pygame.draw.rect(screen, BLACK, [173, 298, 51, 11]),
        pygame.draw.rect(screen, BLACK, [64, 283, 118, 9]),
        pygame.draw.rect(screen, BLACK, [170, 286, 12, 210])
]

self.win_zones =  [
        pygame.draw.rect(screen, CYAN, [182, 292, 37, 6])
]

===

Block_Maze_2(21, 527, 1)

dsnclass.Text("Block Maze 2", (615, 122), 40, "impact", GREY, None)

self.platforms =  [
        pygame.draw.rect(screen, BLACK, [0, 543, 1080, 33]),
        pygame.draw.rect(screen, BLACK, [0, 0, 1080, 33]),
        pygame.draw.rect(screen, BLACK, [0, 0, 15, 576]),
        pygame.draw.rect(screen, BLACK, [4, 507, 132, 14]),
        pygame.draw.rect(screen, BLACK, [210, 352, 517, 14]),
        pygame.draw.rect(screen, BLACK, [447, 502, 517, 28]),
        pygame.draw.rect(screen, BLACK, [179, 426, 15, 145]),
        pygame.draw.rect(screen, BLACK, [56, 467, 132, 14]),
        pygame.draw.rect(screen, BLACK, [546, 462, 325, 14]),
        pygame.draw.rect(screen, BLACK, [823, 408, 255, 14]),
        pygame.draw.rect(screen, BLACK, [544, 420, 45, 24]),
        pygame.draw.rect(screen, BLACK, [683, 430, 45, 14]),
        pygame.draw.rect(screen, BLACK, [701, 437, 11, 14]),
        pygame.draw.rect(screen, BLACK, [230, 509, 43, 35]),
        pygame.draw.rect(screen, BLACK, [230, 444, 43, 35]),
        pygame.draw.rect(screen, BLACK, [297, 443, 43, 35]),
        pygame.draw.rect(screen, BLACK, [366, 443, 43, 35]),
        pygame.draw.rect(screen, BLACK, [823, 420, 45, 24]),
        pygame.draw.rect(screen, BLACK, [719, 342, 45, 33]),
        pygame.draw.rect(screen, BLACK, [923, 342, 45, 33]),
        pygame.draw.rect(screen, BLACK, [1011, 350, 10, 38]),
        pygame.draw.rect(screen, BLACK, [225, 408, 364, 14]),
        pygame.draw.rect(screen, BLACK, [433, 318, 238, 22]),
        pygame.draw.rect(screen, BLACK, [957, 342, 64, 10]),
        pygame.draw.rect(screen, BLACK, [50, 210, 10, 38]),
        pygame.draw.rect(screen, BLACK, [353, 210, 10, 38]),
        pygame.draw.rect(screen, BLACK, [210, 353, 10, 22]),
        pygame.draw.rect(screen, BLACK, [0, 317, 364, 8]),
        pygame.draw.rect(screen, BLACK, [762, 365, 56, 10]),
        pygame.draw.rect(screen, BLACK, [878, 365, 52, 10]),
        pygame.draw.rect(screen, BLACK, [878, 385, 143, 4]),
        pygame.draw.rect(screen, BLACK, [50, 210, 312, 14]),
        pygame.draw.rect(screen, BLACK, [403, 263, 453, 15]),
        pygame.draw.rect(screen, BLACK, [549, 242, 160, 9]),
        pygame.draw.rect(screen, BLACK, [50, 276, 312, 14]),
        pygame.draw.rect(screen, BLACK, [918, 226, 102, 10]),
        pygame.draw.rect(screen, BLACK, [920, 195, 62, 10]),
        pygame.draw.rect(screen, BLACK, [920, 166, 25, 10]),
        pygame.draw.rect(screen, BLACK, [403, 204, 132, 10]),
        pygame.draw.rect(screen, BLACK, [725, 204, 132, 10]),
        pygame.draw.rect(screen, BLACK, [568, 189, 117, 9]),
        pygame.draw.rect(screen, BLACK, [242, 176, 117, 9]),
        pygame.draw.rect(screen, BLACK, [116, 155, 117, 9]),
        pygame.draw.rect(screen, BLACK, [0, 133, 108, 9]),
        pygame.draw.rect(screen, BLACK, [117, 93, 243, 17]),
        pygame.draw.rect(screen, BLACK, [404, 93, 450, 17]),
        pygame.draw.rect(screen, BLACK, [918, 93, 162, 17]),
        pygame.draw.rect(screen, BLACK, [78, 102, 162, 8]),
        pygame.draw.rect(screen, BLACK, [919, 258, 156, 19]),
        pygame.draw.rect(screen, BLACK, [403, 32, 450, 19]),
        pygame.draw.rect(screen, BLACK, [119, 32, 240, 19]),
        pygame.draw.rect(screen, BLACK, [918, 32, 162, 19]),
        pygame.draw.rect(screen, BLACK, [0, 47, 1080, 4]),
        pygame.draw.rect(screen, BLACK, [7, 378, 132, 13]),
        pygame.draw.rect(screen, BLACK, [7, 423, 132, 13]),
        pygame.draw.rect(screen, BLACK, [43, 388, 96, 37]),
        pygame.draw.rect(screen, BLACK, [1065, 93, 15, 455])
]

self.draw =  [
        pygame.draw.rect(screen, BLACK, [212, 371, 512, 4]),
        pygame.draw.rect(screen, BLACK, [864, 425, 32, 4]),
        pygame.draw.rect(screen, BLACK, [403, 205, 132, 32]),
        pygame.draw.rect(screen, BLACK, [725, 205, 132, 32]),
        pygame.draw.rect(screen, BLACK, [415, 109, 428, 15]),
        pygame.draw.rect(screen, BLACK, [425, 123, 408, 15]),
        pygame.draw.rect(screen, BLACK, [501, 138, 238, 15]),
        pygame.draw.rect(screen, BLACK, [925, 109, 146, 10]),
        pygame.draw.rect(screen, BLACK, [142, 109, 218, 10]),
        pygame.draw.rect(screen, BLACK, [925, 276, 142, 10])
]

self.win_zones =  [
        pygame.draw.rect(screen, CYAN, [1070, 51, 10, 42])
]

self.respawn_zones =  [
        pygame.draw.rect(screen, LIME_GREEN, [967, 351, 44, 34])
]

===

Block_Maze_3(943, 118, 1)

